18;Услуги печатные и услуги по копированию звуко- и видеозаписей, а также программных средств;
18.янв;Услуги полиграфические и услуги, связанные с печатанием;
18.ноя;Услуги по печатанию газет;
18.11.2001;Услуги по печатанию газет;
18.11.2010;Услуги по печатанию газет. Эта группировка включает: услуги по печатанию газет, журналов и периодических изданий, выходящих не реже четырех раз в неделю;
18.11.10.000;Услуги по печатанию газет;
18.дек;Услуги печатные прочие;
18.12.2001;Услуги печатные прочие;
18.12.2011;Услуги по печатанию марок почтовых, марок гербовых, документов правоустанавливающих, карточек микропроцессорных, книжек чековых и прочих ценных бумаг и аналогичной продукции;
18.12.11.000;Услуги по печатанию марок почтовых, марок гербовых, документов правоустанавливающих, карточек микропроцессорных, книжек чековых и прочих ценных бумаг и аналогичной продукции;
18.12.2012;Услуги по печатанию торгово-рекламных каталогов, проспектов, плакатов и прочей печатной рекламной продукции;
18.12.12.000;Услуги по печатанию торгово-рекламных каталогов, проспектов, плакатов и прочей печатной рекламной продукции;
18.12.2013;Услуги по печатанию журналов и периодических изданий, выходящих реже четырех раз в неделю;
18.12.13.000;Услуги по печатанию журналов и периодических изданий, выходящих реже четырех раз в неделю;
18.12.2014;Услуги по печатанию книг, географических карт, гидрографических или аналогичных карт всех видов, репродукций, чертежей и фотографий, открыток;
18.12.14.000;Услуги по печатанию книг, географических карт, гидрографических или аналогичных карт всех видов, репродукций, чертежей и фотографий, открыток;
18.12.2015;Услуги по печатанию этикеток и ярлыков;
18.12.15.000;Услуги по печатанию этикеток и ярлыков;
18.12.2016;Услуги по печатанию непосредственно на пластмассе, стекле, металле, дереве и керамике. Эта группировка не включает: различные услуги, предоставляемые в присутствии заказчика, см. 95.29.19;
18.12.16.000;Услуги по печатанию непосредственно на пластмассе, стекле, металле, дереве и керамике;
18.12.2019;Услуги печатные прочие, не включенные в другие группировки;
18.12.19.110;Услуги по печатанию брошюр;
18.12.19.120;Услуги по печатанию нотных изданий;
18.12.19.130;Услуги по печатанию книг, журналов, нотных изданий, альбомов иллюстраций, географических альбомов для слепых;
18.12.19.140;Услуги по печатанию многокрасочной упаковки с дополнительными оформительскими элементами на листах бумаги и картона с последующим формированием конечного изделия;
18.12.19.190;Услуги печатные прочие, не включенные в другие группировки;
18.13;Услуги по подготовке к печати и предпечатные услуги;
18.13.1;Услуги по подготовке к печати;
18.13.10;"Услуги по подготовке к печати. Эта группировка включает: услуги по составлению, набору, фотонабору, вводу данных, включая сканирование и оптическое распознавание символов; услуги по электронной верстке, составлению документов, подготовке публикаций с помощью настольных издательских средств и все прочие услуги по подготовке печатного оригинала; услуги по подготовке цифровых данных, например по актуализации, отбору, компоновке цифровых данных; компьютерное проектирование, компьютерное производство, электронные процессы для предоставления услуг вывода данных; услуги по цифровой раскладке листов; услуги по изготовлению печатных форм, включая изготовление иллюстраций и клише (для высокой и офсетной печати); услуги по изготовлению или обтравливанию цилиндров для глубокой печати; услуги по фоторепродуцированию прямо на печатную форму (в том числе на фотополимерные печатные формы); услуги по изготовлению печатных форм и штампов для тиснения или высокой печати; услуги по художественным работам, в том числе на литографском камне, и изготовлению клише с гравюры на дереве";
18.13.10.000;Услуги по подготовке к печати;
18.13.2;Пластины, цилиндры и прочие типографские элементы, используемые для печати;
18.13.20;Пластины, цилиндры и прочие типографские элементы, используемые для печати;
18.13.20.110;Пластины, используемые для печати;
18.13.20.120;Цилиндры, используемые для печати;
18.13.20.190;Элементы типографские прочие, используемые для печати;
18.13.3;Услуги дополнительные, связанные с печатанием;
18.13.30;"Услуги дополнительные, связанные с печатанием. Эта группировка включает: услуги по производству средств оформления печатной продукции, например фольги для покрытия переплетов и прочих цифровых элементов оформления; услуги по художественному оформлению печатной продукции, например изготовлению эскизов, макетов издания и т.д.
";
18.13.30.000;Услуги дополнительные, связанные с печатанием;
18.14;Услуги переплетные и связанные с переплетом и отделкой книг и аналогичных изделий;
18.14.1;Услуги переплетные и связанные с переплетом и отделкой книг и аналогичных изделий;
18.14.10;"Услуги переплетные и связанные с переплетом и отделкой книг и аналогичных изделий. Эта группировка включает: услуги по переплетению, фальцовке, подборке, шитью, склеиванию, проверке листов брошюруемой книги, наметке, бесшвейному скреплению книжного блока клеем, обрезке блока книги, тиснению золотом; прочие оформительские услуги, такие как услуги по тампопечати, изготовлению гравюры штампов и тиснению, изготовлению форм для Брайлевской печати, перфорированию и сверлению, рельефному тиснению, лакированию и ламинированию, проверке листов брошюруемой книги, их вкладыванию, фальцовке и т.д.; услуги по переплету книг заново";
18.14.10.100;Услуги переплетные и связанные с переплетом и отделкой книг;
18.14.10.200;"Услуги переплетные и связанные с переплетом аналогичных изделий. Эта группировка также включает: услуги переплетные, брошюровочные, окантовочные, картонажные работы по индивидуальному заказу населения
";
18.фев;Услуги по копированию звуко- и видеозаписей, а также программных средств;
18.20;Услуги по копированию звуко- и видеозаписей, а также программных средств;
18.20.1;Услуги по копированию звукозаписей;
18.20.10;"Услуги по копированию звукозаписей. Эта группировка включает: услуги по копированию на грампластинки, магнитофонные пленки, компакт-диски (CD) и цифровые видеодиски (DVD) музыкальных и других звукозаписей с оригинальной матрицы (мастер-копии)
";
18.20.10.110;Услуги по копированию звукозаписей на грампластинки;
18.20.10.120;Услуги по копированию звукозаписей или видеозаписей на магнитные ленты;
18.20.10.130;Услуги по копированию звукозаписей на компакт-диски (CD);
18.20.2;Услуги по копированию видеозаписей;
18.20.20;"Услуги по копированию видеозаписей. Эта группировка включает: услуги по копированию на видеоленты и цифровые видеодиски (DVD) фильмов и прочих видеозаписей с оригинальной матрицы (мастер-копии)
";
18.20.20.000;Услуги по копированию видеозаписей;
18.20.3;Услуги по копированию программных средств;
18.20.30;"Услуги по копированию программных средств. Эта группировка включает: услуги по копированию на все виды дисков и лент программных средств и данных с оригинальной матрицы (мастер-копии)
";
62;"Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";
62.0;"Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";
62.01;Продукты программные и услуги по разработке и тестированию программного обеспечения;
62.01.1;Услуги по проектированию, разработке информационных технологий для прикладных задач и тестированию программного обеспечения;
62.01.11;"Услуги по проектированию, разработке информационных технологий для прикладных задач и тестированию программного обеспечения
Эта группировка включает:
- услуги по разработке структуры и/или написанию системы команд, включая обновления и исправления, необходимые для создания и/или реализации приложения, такие как: разработка структуры и содержания web-сайтов и/или написание системы команд, необходимых для создания и внедрения web-сайтов, разработка структуры и содержания баз данных и/или написание системы команд, необходимых для создания и внедрения баз данных (хранилищ данных);
- разработка структуры и написание системы команд, необходимых для проектирования и разработки прикладных программ, кроме программирования для разработки web-сайтов, баз данных или интеграции пакетов программного обеспечения;
- индивидуализация и интеграция, настройка (модификация, конфигурация и т.п.) и внедрение существующего приложения таким образом, чтобы оно функционировало бы в рамках информационной системы клиента;
- тестирование программного обеспечения
Эта группировка не включает:
- услуги, осуществляемые по договору, согласно которому проектирование и разработка web-сайта связаны с его размещением, см. 63.11.13;
- услуги, осуществляемые по договору, согласно которому проектирование и разработка приложения связаны с его размещением и управлением на постоянной основе, см. 63.11.19;
- услуги, осуществляемые по договору, согласно которому проектирование и разработка базы данных связаны с постоянным управлением хранимыми данными, см. 63.11.19";
62.01.11.000;Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;
62.01.12;"Услуги по проектированию и разработке информационных технологий для сетей и систем
Эта группировка включает:
- проектирование, разработку и внедрение сетей клиента, таких как внутрикорпоративные сети, экстрасети и виртуальные частные сети;
- услуги по проектированию и разработке средств безопасности сети, т.е. проектированию, разработке и внедрению программного обеспечения, аппаратного оборудования и процедур для контроля доступа к данным и программам и для предоставления возможности для безопасного обмена информацией по сети
Эта группировка не включает:
- услуги, осуществляемые по договору, согласно которому данная услуга связана с оперативным управлением сети клиента, см. 62.03.12
";
62.01.12.000;Услуги по проектированию и разработке информационных технологий для сетей и систем;
62.01.2;"Оригиналы программного обеспечения
Эта группировка включает:
- интеллектуальную собственность, охраняемую авторским правом, произведенную без контракта на продажу с безотлагательным расчетом наличными (т.е. со всеми сопутствующими имущественными правами);
- интеллектуальную собственность, предназначенную для продажи и косвенно или открыто охраняемую авторским правом (например, компьютерное программное обеспечение)
Эта группировка не включает:
- программное обеспечение, произведенное по договору для третьих сторон, см. 62.01.11;
- услуги по оптовой и розничной торговле программным обеспечением, см. 46.14.11, 46.51.10, 47.00.31
";
62.01.21;Оригиналы программного обеспечения компьютерных игр;
62.01.21.000;Оригиналы программного обеспечения компьютерных игр;
62.01.29;Оригиналы программного обеспечения прочие;
62.01.29.000;Оригиналы программного обеспечения прочие;
62.02;"Услуги консультативные, связанные с компьютерной техникой
Эта группировка не включает:
- услуги, осуществляемые по договору, согласно которому консультативные услуги связаны с проектированием и разработкой решения в области информационных технологий (web-сайта, базы данных, конкретного приложения, сети и т.д.), см. услуги по проектированию и разработке соответствующей информационной технологии в группировке 62.01.1;
- консультирование по вопросам, связанным со стратегией бизнеса, например консультирование по разработке стратегии электронной торговли, см. 70.22.11
";
62.02.1;Услуги консультативные по компьютерному оборудованию;
62.02.10;"Услуги консультативные по компьютерному оборудованию
Эта группировка включает:
- предоставление консультативных услуг или экспертного заключения по вопросам информационных технологий, связанным с компьютерным оборудованием, например консультативных услуг по таким вопросам, как требования к аппаратному оборудованию и закупки такого оборудования;
- предоставление экспертного заключения по вопросам, связанным с компьютерным оборудованием;
- комплексные услуги по оценке потребностей организации в компьютерах, консультированию по вопросу закупок компьютерного оборудования и программного обеспечения, разработке спецификаций системы и внедрению новой системы;
- услуги по интегрированию компьютерных систем, т.е. анализ действующей компьютерной системы клиента, настоящих и будущих требований к вычислительным ресурсам, приобретение нового оборудования и программного обеспечения и интегрирование компонентов новой и старой систем для создания новой интегрированной системы
";
62.02.10.000;Услуги консультативные по компьютерному оборудованию;
62.02.2;Услуги консультативные по вопросам систем и программному обеспечению;
62.02.20;"Услуги консультативные по вопросам систем и программному обеспечению
Эта группировка включает:
- предоставление консультативных услуг или экспертного заключения по вопросам информационных технологий, связанных с системами информационных технологий и программным обеспечением, таких как: консультации по таким вопросам, как требования к программному обеспечению и его закупки, консультации по вопросам безопасности систем
";
62.02.20.110;Услуги по планированию и проектированию компьютерных систем;
62.02.20.120;Услуги по обследованию и экспертизе компьютерных систем;
62.02.20.130;Услуги по обучению пользователей;
62.02.20.140;Услуги по подготовке компьютерных систем к эксплуатации;
62.02.20.190;Услуги консультативные в области компьютерных технологий прочие;
62.02.3;Услуги по технической поддержке информационных технологий;
62.02.30;"Услуги по технической поддержке информационных технологий
Эта группировка включает:
- предоставление технической поддержки при использовании программного обеспечения или выявлении и устранении его неисправностей;
- услуги по обновлению;
- предоставление технической поддержки при использовании аппаратного оборудования или выявлении и устранении его неисправностей, включая тестирование и чистку в рабочем порядке и ремонт оборудования информационных технологий;
- техническую помощь при перемещении компьютерной системы клиента на новое место;
- предоставление технической поддержки при использовании аппаратного оборудования в сочетании с программным обеспечением или выявлении и устранении его неисправностей;
- предоставление технической помощи для решения специализированных проблем клиента, связанных с использованием компьютерной системы, такой как услуги по проверке или оценке работы вычислительных машин без консультаций или прочих последующих действий, включая проверку, оценку и составление документации для сервера, сети или процесса в отношении компонентов, характеристик, качества функционирования или безопасности
Данная категория включает услуги по управлению и контролю инфраструктуры информационных технологий клиента, включая аппаратное оборудование, программное обеспечение и сети
Эта группировка не включает:
- услуги по восстановлению программного обеспечения в случае аварии, см. 62.09.20
";
62.02.30.000;Услуги по технической поддержке информационных технологий;
62.03;Услуги по управлению компьютерным оборудованием;
62.03.1;"Услуги по управлению компьютерным оборудованием
Эта группировка включает:
- услуги по управлению и контролю инфраструктуры информационных технологий клиента, включая аппаратное оборудование, программное обеспечение и сети";
62.03.11;"Услуги по управлению сетями
Эта группировка включает:
- услуги по управлению и контролю коммуникационных сетей и взаимосвязанного аппаратного оборудования для диагностики проблем сети и сбора статистических данных о емкости сети и использованию для управления сетевым потоком и его точной настройки
Данные услуги также включают удаленное управление системами безопасности или предоставление услуг, связанных с безопасностью
";
62.03.11.000;Услуги по управлению сетями;
62.03.12;"Услуги по управлению компьютерными системами
Эта группировка включает:
- предоставление услуг по оперативному управлению и эксплуатации компьютерной системы клиента
";
62.03.12.110;Услуги по управлению компьютерными системами непосредственно;
62.03.12.120;Услуги по управлению компьютерными системами дистанционно;
62.03.12.130;Услуги по сопровождению компьютерных систем;
62.03.12.190;Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;
62.09;Услуги в области информационных технологий прочие и компьютерные услуги;
62.09.1;Услуги по установке компьютеров и периферийного оборудования;
62.09.10;"Услуги по установке компьютеров и периферийного оборудования
Эта группировка не включает:
- услуги по установке универсальных электронных вычислительных машин, см. 33.20.39
";
62.09.10.000;Услуги по установке компьютеров и периферийного оборудования;
62.09.2;Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки;
62.09.20;"Услуги в области информационных технологий и компьютерные услуги прочие, не включенные в другие группировки
Эта группировка включает:
- услуги по восстановлению данных, т.е. восстановление данных клиента с поврежденного или нестабильного накопителя на жестких дисках или прочего носителя памяти, или предоставление резервного компьютерного оборудования и дубликата программного обеспечения в отдельном месте с целью предоставления клиенту возможности переместить постоянный персонал для возобновления и поддержки повседневных компьютеризованных работ в случае чрезвычайного происшествия, такого как пожар или наводнение;
- услуги по установке программного обеспечения;
- прочие услуги по технической поддержке в области информационных технологий, не включенные в другие группировки
Эта группировка не включает:
- услуги в области компьютерного программирования, см. 62.01.1;
- консультативные услуги в области информационных технологий, см. 62.02;
- услуги по обработке данных и размещению, см. 63.11.1
";
62.09.20.110;Услуги по восстановлению данных и поддержке повседневных компьютеризованных работ в случае чрезвычайного происшествия, такого как пожар или наводнение;
62.09.20.120;Услуги по установке программного обеспечения;
62.09.20.190;Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;
69;Услуги юридические и бухгалтерские;
69.1;Услуги юридические;
69.10;Услуги юридические;
69.10.1;"Услуги юридические
Эта группировка не включает:
- административные услуги, связанные с судебными органами, см. 84.23.11
";
69.10.11;"Услуги по юридическим консультациям и представительству в связи с уголовным правом
Эта группировка включает:
- консультации, представительство и связанные с этим услуги (защита, поиск доказательств, свидетельство, экспертиза и т.д.), касающиеся уголовного права
";
69.10.11.000;Услуги по юридическим консультациям и представительству в связи с уголовным правом;
69.10.12;"Услуги по юридическим консультациям и представительству в судебных процедурах в связи с правом предпринимательской деятельности и коммерческим правом
Эта группировка включает:
- консультации, представительство и связанные с этим услуги в судебных и квазисудебных процедурах в связи с правом предпринимательской деятельности и коммерческим правом
";
69.10.12.000;Услуги по юридическим консультациям и представительству в судебных процедурах в связи с правом предпринимательской деятельности и коммерческим правом;
69.10.13;"Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом
Эта группировка включает:
- консультации, представительство и связанные с этим услуги в судебных и квазисудебных процедурах в связи с трудовым правом
";
69.10.13.000;Услуги по юридическим консультациям и представительству в судебных процедурах в связи с трудовым правом;
