26.май;"Оборудование для измерения, испытаний и навигации; часы всех видов"
26.51;Оборудование для измерения, испытаний и навигации
26.51.1;Приборы навигационные, метеорологические, геофизические и аналогичные инструменты
26.51.11;"Компасы для определения направления; прочие навигационные инструменты и приборы"
26.51.11.110;Компасы для определения направления
26.51.11.190;Приборы и инструменты навигационные прочие
26.51.12;"Дальномеры, теодолиты и тахиметры (тахеометры); прочие геодезические, гидрографические, океанографические, гидрологические, метеорологические или геофизические инструменты и приборы"
26.51.12.110;Дальномеры, теодолиты и тахиметры (тахеометры)
26.51.12.120;Инструменты и приборы геодезические
26.51.12.130;Инструменты и приборы гидрографические
26.51.12.140;Инструменты и приборы океанографические
26.51.12.150;Инструменты и приборы гидрологические
26.51.12.160;Инструменты и приборы геофизические
26.51.12.190;Инструменты и приборы прочие
26.51.2;Аппаратура радиолокационная, радионавигационная и радиоаппаратура дистанционного управления
26.51.20;Аппаратура радиолокационная, радионавигационная и радиоаппаратура дистанционного управления
26.51.20.110;Аппаратура радиолокационная
26.51.20.120;Аппаратура радионавигационная
26.51.20.121;Аппаратура радионавигационная для работы в системе спутниковой навигации ГЛОНАСС или ГЛОНАСС/GPS
26.51.20.122;"Аппаратура радионавигационная для работы в системах спутниковой навигации GPS или ""Галилео"""
26.51.20.129;Аппаратура радионавигационная прочая
26.51.20.130;Радиоаппаратура дистанционного управления
26.51.3;"Весы точные; инструменты для черчения, расчетов, приборы для измерения линейных размеров и т.п."
26.51.31;Весы чувствительностью 0,05 г или выше
26.51.31.000;Весы чувствительностью 0,05 г или выше
26.51.32;Столы, машины чертежные и прочие инструменты для черчения, разметки или математических расчетов
26.51.32.110;Столы чертежные
26.51.32.120;Машины чертежные
26.51.32.190;Инструменты для черчения, разметки или математических расчетов прочие
26.51.33;Приборы для измерения линейных размеров ручные (включая микрометры и штангенциркули), не включенные в другие группировки
26.51.33.110;Калибры
26.51.33.120;Штангенинструмент
26.51.33.121;Штангенциркули
26.51.33.122;Штангенрейсмасы
26.51.33.123;Штангенглубиномеры
26.51.33.129;Штангенинструмент прочий
26.51.33.130;Инструмент микрометрический (микрометры)
26.51.33.131;Микрометры
26.51.33.132;Вставки к микрометрам
26.51.33.133;Глубиномеры микрометрические
26.51.33.134;Нутромеры микрометрические
26.51.33.135;Стойки универсальные для микрометров
26.51.33.136;Головки микрометрические
26.51.33.140;Инструмент для контроля прямолинейности, плоскостности и перпендикулярности
26.51.33.141;Линейки
26.51.33.142;Плиты поверочные и разметочные
26.51.33.143;Угольники поверочные
26.51.33.144;Призмы поверочные и разметочные
26.51.33.190;Инструмент измерительный прочий
26.51.33.191;Шаблоны
26.51.33.192;Щупы
26.51.33.199;Инструмент измерительный прочий, не включенный в другие группировки
26.51.4;Приборы для измерения электрических величин или ионизирующих излучений
26.51.41;Приборы и аппаратура для измерения или обнаружения ионизирующих излучений
26.51.41.110;Приборы, установки, системы дозиметрические
26.51.41.120;Приборы, установки, системы радиометрические
26.51.41.130;Приборы, установки, системы спектрометрические
26.51.41.140;Приборы, установки, системы комбинированные
26.51.41.150;Приборы радиоизотопные
26.51.41.151;Приборы радиоизотопные для измерения и контроля безразмерных величин, линейных размеров и углов, применяемые в области использования атомной энергии
26.51.41.152;Приборы радиоизотопные для измерения и контроля механических величин (динамика и кинематика), применяемые в области использования атомной энергии
26.51.41.153;Приборы радиоизотопные для измерения и контроля физических величин (молекулярная физика, теплота, оптика, электричество, магнетизм), применяемые в области использования атомной энергии
26.51.41.154;Приборы радиоизотопные для измерения и контроля физико-химических величин, применяемые в области использования атомной энергии
26.51.41.155;Приборы радиоизотопные для измерения и контроля химических параметров, применяемые в области использования атомной энергии
26.51.41.156;Приборы радиоизотопные универсальные, применяемые в области использования атомной энергии
26.51.41.157;Аппаратура радиоизотопная контрольно-поверочная, приспособления и принадлежности к аппаратам, применяемые в области использования атомной энергии
26.51.41.158;Приборы радиоизотопные, применяемые в области использования атомной энергии, прочие, не включенные в другие группировки
26.51.41.160;Детекторы ионизирующих излучений
26.51.41.161;Детекторы ионизационные, кроме газоразрядных счетчиков
26.51.41.162;Детекторы ионизирующих излучений радиолюминесцентные
26.51.41.163;Детекторы ионизирующих излучений Черенкова
26.51.41.164;Детекторы ионизирующих излучений химические
26.51.41.165;Детекторы ионизирующих излучений зарядовые
26.51.41.166;Детекторы ионизирующих излучений калориметрические
26.51.41.167;Детекторы ионизирующих излучений радиодефекционные
26.51.41.168;Детекторы ионизирующих излучений сцинтилляционные
26.51.41.169;Детекторы ионизирующих излучений прочие
26.51.41.170;Приборы ядерные аналитические
26.51.41.171;Приборы для активационного анализа
26.51.41.172;Приборы рентгенорадиометрические
26.51.41.173;Приборы для радиометрического анализа
26.51.41.174;Приборы для абсорбционного анализа
26.51.41.175;Приборы для анализа по рассеянному излучению
26.51.41.176;Установки масс-спектрометрические технологические
26.51.41.179;Приборы ядерные аналитические прочие, не включенные в другие группировки
26.51.41.190;Приборы и аппаратура для измерения или обнаружения ионизирующих излучений прочие
26.51.42;Осциллоскопы и осциллографы электронно-лучевые
26.51.42.110;Осциллоскопы электронно-лучевые
26.51.42.120;Осциллографы электронно-лучевые
26.51.43;Приборы для измерения электрических величин без записывающего устройства
26.51.43.110;Приборы цифровые электроизмерительные
26.51.43.111;Амперметры цифровые
26.51.43.112;Вольтметры цифровые
26.51.43.113;Омметры цифровые
26.51.43.114;Измерители отношений цифровые
26.51.43.115;Измерители частоты и временных интервалов цифровые
26.51.43.116;Приборы цифровые электроизмерительные комбинированные
26.51.43.117;Преобразователи измерительные унифицирующие аналого-цифровые и цифро-аналоговые
26.51.43.119;Приборы цифровые электроизмерительные прочие
26.51.43.120;Системы информационные электроизмерительные, комплексы измерительно-вычислительные и установки для измерения электрических и магнитных величин
26.51.43.130;Приборы электроизмерительные щитовые аналоговые
26.51.43.131;Амперметры щитовые аналоговые
26.51.43.132;Вольтметры щитовые аналоговые
26.51.43.133;Омметры щитовые аналоговые
26.51.43.134;Ваттметры и варметры щитовые аналоговые
26.51.43.135;Частотомеры, фазометры и синхроноскопы щитовые аналоговые
26.51.43.136;Приборы электроизмерительные щитовые аналоговые, комбинированные
26.51.43.137;Указатели, измерители и индикаторы щитовые аналоговые
26.51.43.139;Приборы электроизмерительные щитовые аналоговые прочие
26.51.43.140;Приборы электроизмерительные лабораторные аналоговые
26.51.43.141;Амперметры лабораторные аналоговые
26.51.43.142;Вольтметры лабораторные аналоговые
26.51.43.143;Омметры, фарадметры и генриметры лабораторные аналоговые
26.51.43.144;Ваттметры и варметры лабораторные аналоговые
26.51.43.145;Частотомеры, фазометры и синхроноскопы лабораторные аналоговые
26.51.43.146;Приборы электроизмерительные лабораторные аналоговые комбинированные
26.51.43.149;Приборы электроизмерительные лабораторные аналоговые прочие
26.51.43.150;Меры и приборы образцовые электрических и магнитных величин
26.51.44;Приборы и аппаратура для телекоммуникаций
26.51.44.000;Приборы и аппаратура для телекоммуникаций
26.51.45;Приборы и аппаратура для измерения или контроля электрических величин, не включенные в другие группировки
26.51.45.110;Приборы электроизмерительные регистрирующие
26.51.45.111;Амперметры самопишущие
26.51.45.112;Вольтметры самопишущие
26.51.45.113;Приборы с логометрической измерительной схемой (вторичные) самопишущие
26.51.45.114;Ваттметры и варметры самопишущие
26.51.45.115;Частотомеры, фазометры и синхроноскопы самопишущие
26.51.45.116;Приборы комбинированные электроизмерительные самопишущие
26.51.45.119;Приборы электроизмерительные регистрирующие прочие
26.51.45.190;Приборы и аппаратура для измерения или контроля электрических величин прочие, не включенные в другие группировки
26.51.5;Приборы для контроля прочих физических величин
