61.10.3;Услуги по передаче данных по проводным телекоммуникационным сетям
61.10.30;"Услуги по передаче данных по проводным телекоммуникационным сетям
Эта группировка включает:
- предоставление доступа к сети передачи данных и услугам, специально предназначенным для эффективной передачи данных на основе системы оплаты по мере пользования
Эта группировка не включает:
- предоставление проводных телекоммуникационных линий между конкретными пунктами для исключительного пользования клиентом, см. 61.10.13"
61.10.30.110;Услуги по передаче данных для целей передачи голосовой информации (IP-телефония)
61.10.30.120;Услуги документальной электросвязи
61.10.30.190;Услуги по передаче данных по проводным телекоммуникационным сетям прочие
61.10.4;Услуги телекоммуникационные проводные в информационно-коммуникационной сети Интернет
61.10.41;"Услуги магистральные по информационно-коммуникационной сети Интернет
Эта группировка включает:
- предоставление услуг по передаче сообщений через информационно-коммуникационную сеть Интернет одним поставщиком услуг в информационно-коммуникационную сеть Интернет другому (обычно называемые в промышленности как равноуровневые и транзитные сборы);
- обеспечение удаленного доступа или прочего вида доступа к информационно-коммуникационной сети Интернет и расширенный пакет услуг, таких как международный роуминг и дополнительные ящики для электронной почты, которые обычно оказываются пользователям за дополнительную плату
"
61.10.41.000;Услуги магистральные по информационно-коммуникационной сети Интернет
61.10.42;"Услуги по узкополосному доступу к информационно-коммуникационной сети Интернет по проводным сетям
Эта группировка включает:
- обеспечение прямого проводного подключения к информационно-коммуникационной сети Интернет на скорости до 256 Кбит/с
Поставщик услуг информационно-коммуникационной сети Интернет может также одновременно с предоставлением доступа к информационно-коммуникационной сети Интернет оказывать бесплатные услуги, такие как электронная почта, предоставление места для web-страницы пользователя, средства для разработки простой web-страницы, чат и техническая поддержка. Эта услуга также может включать: обеспечение удаленного доступа или прочего вида доступа к информационно-коммуникационной сети Интернет и расширенный пакет услуг, таких как международный роуминг и дополнительные ящики для электронной почты, которые обычно оказываются пользователям за дополнительную плату"
61.10.42.000;Услуги по узкополосному доступу к информационно-коммуникационной сети Интернет по проводным сетям
61.10.43;"Услуги по широкополосному доступу к информационно-коммуникационной сети Интернет по проводным сетям
Эта группировка включает:
- обеспечение прямого проводного подключения к информационно-коммуникационной сети Интернет на скорости 256 Кбит/с и больше
Поставщик услуг информационно-коммуникационной сети Интернет может также одновременно с предоставлением доступа к информационно-коммуникационной сети Интернет оказывать бесплатные услуги, такие как электронная почта, предоставление места для web-страницы пользователя, средства для разработки простой web-страницы, чат и техническая поддержка"
61.10.43.000;Услуги по широкополосному доступу к информационно-коммуникационной сети Интернет по проводным сетям
