18;Услуги печатные и услуги по копированию звуко- и видеозаписей, а также программных средств
18.1;Услуги полиграфические и услуги, связанные с печатанием
18.11;Услуги по печатанию газет
18.11.1;Услуги по печатанию газет
18.11.10;Услуги по печатанию газет. Эта группировка включает: услуги по печатанию газет, журналов и периодических изданий, выходящих не реже четырех раз в неделю
18.11.10.000;Услуги по печатанию газет
18.12;Услуги печатные прочие
18.12.1;Услуги печатные прочие
18.12.11;Услуги по печатанию марок почтовых, марок гербовых, документов правоустанавливающих, карточек микропроцессорных, книжек чековых и прочих ценных бумаг и аналогичной продукции
18.12.11.000;Услуги по печатанию марок почтовых, марок гербовых, документов правоустанавливающих, карточек микропроцессорных, книжек чековых и прочих ценных бумаг и аналогичной продукции
18.12.12;Услуги по печатанию торгово-рекламных каталогов, проспектов, плакатов и прочей печатной рекламной продукции
18.12.12.000;Услуги по печатанию торгово-рекламных каталогов, проспектов, плакатов и прочей печатной рекламной продукции
18.12.13;Услуги по печатанию журналов и периодических изданий, выходящих реже четырех раз в неделю
18.12.13.000;Услуги по печатанию журналов и периодических изданий, выходящих реже четырех раз в неделю
18.12.14;Услуги по печатанию книг, географических карт, гидрографических или аналогичных карт всех видов, репродукций, чертежей и фотографий, открыток
18.12.14.000;Услуги по печатанию книг, географических карт, гидрографических или аналогичных карт всех видов, репродукций, чертежей и фотографий, открыток
18.12.15;Услуги по печатанию этикеток и ярлыков
18.12.15.000;Услуги по печатанию этикеток и ярлыков
18.12.16;Услуги по печатанию непосредственно на пластмассе, стекле, металле, дереве и керамике. Эта группировка не включает: различные услуги, предоставляемые в присутствии заказчика, см. 95.29.19
18.12.16.000;Услуги по печатанию непосредственно на пластмассе, стекле, металле, дереве и керамике
18.12.19;Услуги печатные прочие, не включенные в другие группировки
18.12.19.110;Услуги по печатанию брошюр
18.12.19.120;Услуги по печатанию нотных изданий
18.12.19.130;Услуги по печатанию книг, журналов, нотных изданий, альбомов иллюстраций, географических альбомов для слепых
18.12.19.140;Услуги по печатанию многокрасочной упаковки с дополнительными оформительскими элементами на листах бумаги и картона с последующим формированием конечного изделия
18.12.19.190;Услуги печатные прочие, не включенные в другие группировки
18.13;Услуги по подготовке к печати и предпечатные услуги
18.13.1;Услуги по подготовке к печати
18.13.10;"Услуги по подготовке к печати. Эта группировка включает: услуги по составлению, набору, фотонабору, вводу данных, включая сканирование и оптическое распознавание символов; услуги по электронной верстке, составлению документов, подготовке публикаций с помощью настольных издательских средств и все прочие услуги по подготовке печатного оригинала; услуги по подготовке цифровых данных, например по актуализации, отбору, компоновке цифровых данных; компьютерное проектирование, компьютерное производство, электронные процессы для предоставления услуг вывода данных; услуги по цифровой раскладке листов; услуги по изготовлению печатных форм, включая изготовление иллюстраций и клише (для высокой и офсетной печати); услуги по изготовлению или обтравливанию цилиндров для глубокой печати; услуги по фоторепродуцированию прямо на печатную форму (в том числе на фотополимерные печатные формы); услуги по изготовлению печатных форм и штампов для тиснения или высокой печати; услуги по художественным работам, в том числе на литографском камне, и изготовлению клише с гравюры на дереве"
18.13.10.000;Услуги по подготовке к печати
18.13.2;Пластины, цилиндры и прочие типографские элементы, используемые для печати
18.13.20;Пластины, цилиндры и прочие типографские элементы, используемые для печати
18.13.20.110;Пластины, используемые для печати
18.13.20.120;Цилиндры, используемые для печати
18.13.20.190;Элементы типографские прочие, используемые для печати
18.13.3;Услуги дополнительные, связанные с печатанием
18.13.30;"Услуги дополнительные, связанные с печатанием. Эта группировка включает: услуги по производству средств оформления печатной продукции, например фольги для покрытия переплетов и прочих цифровых элементов оформления; услуги по художественному оформлению печатной продукции, например изготовлению эскизов, макетов издания и т.д.
"
18.13.30.000;Услуги дополнительные, связанные с печатанием
18.14;Услуги переплетные и связанные с переплетом и отделкой книг и аналогичных изделий
18.14.1;Услуги переплетные и связанные с переплетом и отделкой книг и аналогичных изделий
18.14.10;"Услуги переплетные и связанные с переплетом и отделкой книг и аналогичных изделий. Эта группировка включает: услуги по переплетению, фальцовке, подборке, шитью, склеиванию, проверке листов брошюруемой книги, наметке, бесшвейному скреплению книжного блока клеем, обрезке блока книги, тиснению золотом; прочие оформительские услуги, такие как услуги по тампопечати, изготовлению гравюры штампов и тиснению, изготовлению форм для Брайлевской печати, перфорированию и сверлению, рельефному тиснению, лакированию и ламинированию, проверке листов брошюруемой книги, их вкладыванию, фальцовке и т.д.; услуги по переплету книг заново"
18.14.10.100;Услуги переплетные и связанные с переплетом и отделкой книг
18.14.10.200;"Услуги переплетные и связанные с переплетом аналогичных изделий. Эта группировка также включает: услуги переплетные, брошюровочные, окантовочные, картонажные работы по индивидуальному заказу населения
"
18.2;Услуги по копированию звуко- и видеозаписей, а также программных средств
18.20;Услуги по копированию звуко- и видеозаписей, а также программных средств
18.20.1;Услуги по копированию звукозаписей
18.20.10;"Услуги по копированию звукозаписей. Эта группировка включает: услуги по копированию на грампластинки, магнитофонные пленки, компакт-диски (CD) и цифровые видеодиски (DVD) музыкальных и других звукозаписей с оригинальной матрицы (мастер-копии)
"
18.20.10.110;Услуги по копированию звукозаписей на грампластинки
18.20.10.120;Услуги по копированию звукозаписей или видеозаписей на магнитные ленты
18.20.10.130;Услуги по копированию звукозаписей на компакт-диски (CD)
18.20.2;Услуги по копированию видеозаписей
18.20.20;"Услуги по копированию видеозаписей. Эта группировка включает: услуги по копированию на видеоленты и цифровые видеодиски (DVD) фильмов и прочих видеозаписей с оригинальной матрицы (мастер-копии)
"
18.20.20.000;Услуги по копированию видеозаписей
18.20.3;Услуги по копированию программных средств
18.20.30;"Услуги по копированию программных средств. Эта группировка включает: услуги по копированию на все виды дисков и лент программных средств и данных с оригинальной матрицы (мастер-копии)
"
26.5;"Оборудование для измерения, испытаний и навигации; часы всех видов"
26.51;Оборудование для измерения, испытаний и навигации
26.51.1;Приборы навигационные, метеорологические, геофизические и аналогичные инструменты
26.51.11;"Компасы для определения направления; прочие навигационные инструменты и приборы"
26.51.11.110;Компасы для определения направления
26.51.11.190;Приборы и инструменты навигационные прочие
26.51.12;"Дальномеры, теодолиты и тахиметры (тахеометры); прочие геодезические, гидрографические, океанографические, гидрологические, метеорологические или геофизические инструменты и приборы"
26.51.12.110;Дальномеры, теодолиты и тахиметры (тахеометры)
26.51.12.120;Инструменты и приборы геодезические
26.51.12.130;Инструменты и приборы гидрографические
26.51.12.140;Инструменты и приборы океанографические
26.51.12.150;Инструменты и приборы гидрологические
26.51.12.160;Инструменты и приборы геофизические
26.51.12.190;Инструменты и приборы прочие
26.51.2;Аппаратура радиолокационная, радионавигационная и радиоаппаратура дистанционного управления
26.51.20;Аппаратура радиолокационная, радионавигационная и радиоаппаратура дистанционного управления
26.51.20.110;Аппаратура радиолокационная
26.51.20.120;Аппаратура радионавигационная
26.51.20.121;Аппаратура радионавигационная для работы в системе спутниковой навигации ГЛОНАСС или ГЛОНАСС/GPS
26.51.20.122;"Аппаратура радионавигационная для работы в системах спутниковой навигации GPS или ""Галилео"""
26.51.20.129;Аппаратура радионавигационная прочая
26.51.20.130;Радиоаппаратура дистанционного управления
26.51.3;"Весы точные; инструменты для черчения, расчетов, приборы для измерения линейных размеров и т.п."
26.51.31;Весы чувствительностью 0,05 г или выше
